post_id,views,likes,comments,downstream_conversions
p_00042,1335,69,1,3
p_00173,803,11,4,0
p_00449,24603,1916,124,2
p_00445,17074,388,25,4
p_00441,13478,409,52,5
p_00443,5110,155,12,1
p_00451,23377,1075,87,5
p_00448,10920,573,15,1
p_00446,9225,376,10,5
p_00450,10601,131,58,4
p_00440,17503,812,61,5
p_00442,6978,543,33,1
p_00444,16853,399,12,2
p_00447,13057,485,26,4
p_00100,621,29,0,0
p_00308,2091,31,12,5
p_00621,4571,306,20,0
p_00625,9287,594,8,7
p_00623,4181,224,9,3
p_00622,5596,177,12,1
p_00620,10372,446,12,9
p_00626,13987,884,50,10
p_00624,6504,259,4,4
p_00199,3139,38,12,2
p_00159,966,26,2,2
p_00149,183,4,0,0
p_00126,470,31,1,1
p_00376,600,39,0,1
p_00313,970,70,2,2
p_00096,1948,50,5,1
p_00266,1137,52,3,0
p_00184,1106,20,2,1
p_00144,789,46,1,1
p_00296,1240,95,2,3
p_00029,193,2,0,0
p_00004,879,11,1,1
p_00457,11085,490,65,2
p_00462,13845,789,64,3
p_00461,17256,936,68,6
p_00455,8028,131,40,3
p_00452,7740,397,32,0
p_00463,9369,429,16,1
p_00453,7494,277,42,4
p_00458,14959,506,16,2
p_00459,17432,851,59,11
p_00456,6947,114,37,1
p_00454,13588,468,61,4
p_00460,17185,1238,82,12
p_00212,521,37,1,0
p_00364,1081,18,4,0
p_00183,3994,102,17,8
p_00070,1311,42,6,1
p_00251,1940,96,1,4
p_00427,1249,35,2,1
p_00160,844,45,4,2
p_00369,1179,59,3,2
p_00235,1481,17,5,1
p_00634,4140,313,23,1
p_00632,5866,439,16,1
p_00631,9825,760,51,9
p_00627,4164,134,5,3
p_00630,2883,217,12,1
p_00628,4080,323,5,2
p_00633,7219,515,33,4
p_00635,12036,367,59,5
p_00629,11844,837,65,10
p_00196,1355,75,5,3
p_00361,19578,1415,46,48
p_00165,483,6,1,0
p_00034,742,22,2,1
p_00223,615,28,2,0
p_00327,2145,114,2,2
p_00396,931,50,4,1
p_00028,533,24,1,1
p_00431,528,8,0,0
p_00170,1775,121,7,5
p_00273,343,9,1,0
p_00331,687,38,1,1
p_00011,4903,134,12,7
p_00270,2050,22,2,4
p_00164,1280,21,4,2
p_00468,17129,378,49,7
p_00473,25199,331,64,13
p_00469,6351,287,33,3
p_00475,7772,427,5,1
p_00465,14882,1128,54,7
p_00464,24678,1189,140,10
p_00471,6925,535,37,2
p_00470,13717,443,70,2
p_00467,9134,612,18,1
p_00466,14195,1013,64,7
p_00472,8850,263,13,5
p_00474,16920,657,43,13
p_00399,1463,49,8,3
p_00375,754,47,0,1
p_00219,2162,98,10,5
p_00057,1549,16,8,2
p_00079,700,22,4,0
p_00417,970,40,2,2
p_00326,1445,82,6,1
p_00244,1479,65,1,1
p_00038,1484,60,7,2
p_00311,463,29,1,0
p_00366,694,11,3,0
p_00392,615,48,1,0
p_00275,1080,72,6,1
p_00339,505,24,1,1
p_00300,756,13,2,2
p_00051,884,16,1,0
p_00358,712,44,2,1
p_00284,823,58,1,0
p_00147,1238,13,7,3
p_00414,1074,52,6,0
p_00747,5459,254,21,0
p_00749,4569,246,16,0
p_00750,11429,835,8,0
p_00751,5195,277,10,0
p_00752,8026,185,24,0
p_00748,8209,126,48,0
p_00328,211,12,0,0
p_00220,1920,41,10,4
p_00636,4830,369,21,4
p_00638,3209,226,2,3
p_00642,18165,660,90,4
p_00644,2585,178,13,2
p_00643,13969,545,27,8
p_00639,6653,506,34,5
p_00641,6807,282,8,2
p_00637,7088,404,27,2
p_00640,8803,158,36,4
p_00481,24294,1692,85,11
p_00486,12734,908,34,6
p_00480,16162,402,20,9
p_00476,22379,772,83,2
p_00484,7097,243,23,5
p_00482,4828,182,18,3
p_00477,5616,441,18,2
p_00483,11789,640,21,3
p_00479,14256,487,77,3
p_00478,7919,449,11,3
p_00487,9522,154,11,2
p_00485,8460,206,21,3
p_00436,4323,285,17,2
p_00252,923,65,5,0
p_00363,820,51,1,2
p_00213,752,27,2,0
p_00221,267,16,0,0
p_00346,2679,160,14,3
p_00357,10541,435,36,8
p_00320,2198,63,5,2
p_00060,535,38,2,0
p_00379,377,24,1,0
p_00190,955,59,2,1
p_00315,450,13,1,0
p_00016,1883,148,7,2
p_00061,4136,70,5,4
p_00274,533,15,0,0
p_00132,608,9,2,1
p_00271,1114,42,6,0
p_00010,862,57,1,2
p_00754,6636,498,23,0
p_00756,3673,183,7,0
p_00757,4166,136,11,0
p_00755,6824,310,12,0
p_00758,6026,182,22,0
p_00753,3783,78,11,0
p_00303,533,10,0,0
p_00368,932,30,4,2
p_00019,1752,90,5,4
p_00068,363,12,2,0
p_00200,1208,27,1,3
p_00279,553,27,2,1
p_00177,1176,25,1,1
p_00193,645,36,2,1
p_00167,1802,121,5,2
p_00411,691,29,1,0
p_00259,911,66,2,0
p_00435,3432,252,13,6
p_00493,6214,407,24,1
p_00488,20225,1467,97,9
p_00495,9830,610,6,2
p_00491,8246,522,43,4
p_00498,19281,1335,23,3
p_00499,9609,632,12,3
p_00497,16994,932,73,10
p_00496,7982,220,19,3
