account_id,known_synthetic_group,community_id,degree,weighted_degree,betweenness,eigenvector,clustering,degree_z,weighted_degree_z,betweenness_z,eigenvector_z,clustering_z,toy_coordination_score
alpha_006,coordinated_alpha,1,11,165,0.0,0,1.0,1.036739388613738,1.104884428377514,-0.33257073033629525,0.0,1.109019921058388,3.2506437380496402
alpha_010,coordinated_alpha,1,11,165,0.0,0,1.0,1.036739388613738,1.104884428377514,-0.33257073033629525,0.0,1.109019921058388,3.2506437380496402
alpha_002,coordinated_alpha,1,11,165,0.0,0,1.0,1.036739388613738,1.104884428377514,-0.33257073033629525,0.0,1.109019921058388,3.2506437380496402
alpha_004,coordinated_alpha,1,11,165,0.0,0,1.0,1.036739388613738,1.104884428377514,-0.33257073033629525,0.0,1.109019921058388,3.2506437380496402
alpha_012,coordinated_alpha,1,11,165,0.0,0,1.0,1.036739388613738,1.104884428377514,-0.33257073033629525,0.0,1.109019921058388,3.2506437380496402
alpha_009,coordinated_alpha,1,11,165,0.0,0,1.0,1.036739388613738,1.104884428377514,-0.33257073033629525,0.0,1.109019921058388,3.2506437380496402
alpha_007,coordinated_alpha,1,11,165,0.0,0,1.0,1.036739388613738,1.104884428377514,-0.33257073033629525,0.0,1.109019921058388,3.2506437380496402
alpha_011,coordinated_alpha,1,11,165,0.0,0,1.0,1.036739388613738,1.104884428377514,-0.33257073033629525,0.0,1.109019921058388,3.2506437380496402
alpha_001,coordinated_alpha,1,11,165,0.0,0,1.0,1.036739388613738,1.104884428377514,-0.33257073033629525,0.0,1.109019921058388,3.2506437380496402
alpha_003,coordinated_alpha,1,11,165,0.0,0,1.0,1.036739388613738,1.104884428377514,-0.33257073033629525,0.0,1.109019921058388,3.2506437380496402
alpha_005,coordinated_alpha,1,11,165,0.0,0,1.0,1.036739388613738,1.104884428377514,-0.33257073033629525,0.0,1.109019921058388,3.2506437380496402
alpha_008,coordinated_alpha,1,11,165,0.0,0,1.0,1.036739388613738,1.104884428377514,-0.33257073033629525,0.0,1.109019921058388,3.2506437380496402
beta_004,coordinated_beta,2,8,54,0.003076923076923077,0,0.3573729287504118,-0.11361527546451904,-0.5717427269882629,1.3000492185873358,0.0,-0.797254962693393,0.0
beta_009,coordinated_beta,2,8,54,0.0,0,0.352340867502182,-0.11361527546451904,-0.5717427269882629,-0.33257073033629525,0.0,-0.8121819590808133,0.0
beta_006,coordinated_beta,2,7,52,0.0,0,0.4364508210044387,-0.4970668301572714,-0.6019522252831417,-0.33257073033629525,0.0,-0.5626800333012045,0.0
beta_008,coordinated_beta,2,8,44,0.00923076923076923,0,0.3141652474547926,-0.11361527546451904,-0.7227902184626572,4.565289116434598,0.0,-0.9254252831232972,0.0
beta_007,coordinated_beta,2,7,44,0.0,0,0.3958225352021767,-0.4970668301572714,-0.7227902184626572,-0.33257073033629525,0.0,-0.6831988913756741,0.0
beta_001,coordinated_beta,2,7,40,0.003076923076923077,0,0.3354853413779128,-0.4970668301572714,-0.7832092150524149,1.3000492185873358,0.0,-0.8621818229842078,0.0
beta_002,coordinated_beta,2,6,37,0.0,0,0.4160153928845371,-0.8805183848500238,-0.8285234624947332,-0.33257073033629525,0.0,-0.6232992401577322,0.0
beta_005,coordinated_beta,2,7,36,0.0,0,0.3526551686435625,-0.4970668301572714,-0.8436282116421726,-0.33257073033629525,0.0,-0.8112496230517956,0.0
news_005,news_breaking,3,5,20,0.0,0,0.26666666666666666,-1.2639699395427761,-1.0853041980012035,-0.33257073033629525,0.0,-1.066324033924744,0.0
news_006,news_breaking,3,5,20,0.0,0,0.26666666666666666,-1.2639699395427761,-1.0853041980012035,-0.33257073033629525,0.0,-1.066324033924744,0.0
news_002,news_breaking,3,5,20,0.0,0,0.26666666666666666,-1.2639699395427761,-1.0853041980012035,-0.33257073033629525,0.0,-1.066324033924744,0.0
news_001,news_breaking,3,5,20,0.0,0,0.26666666666666666,-1.2639699395427761,-1.0853041980012035,-0.33257073033629525,0.0,-1.066324033924744,0.0
news_004,news_breaking,3,5,20,0.0,0,0.26666666666666666,-1.2639699395427761,-1.0853041980012035,-0.33257073033629525,0.0,-1.066324033924744,0.0
news_003,news_breaking,3,5,20,0.0,0,0.26666666666666666,-1.2639699395427761,-1.0853041980012035,-0.33257073033629525,0.0,-1.066324033924744,0.0
beta_003,coordinated_beta,2,4,19,0.0015384615384615385,0,0.3453825252190141,-1.6474214942355283,-1.100408947148643,0.48373924412552033,0.0,-0.8328230333840764,0.0
