source,target,weight,example_content_ids
alpha_006,alpha_010,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_002,alpha_010,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_004,alpha_010,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_010,alpha_012,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_009,alpha_010,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_007,alpha_010,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_010,alpha_011,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_001,alpha_010,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_003,alpha_010,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_005,alpha_010,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_008,alpha_010,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_002,alpha_006,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_004,alpha_006,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_006,alpha_012,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_006,alpha_009,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_006,alpha_007,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_006,alpha_011,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_001,alpha_006,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_003,alpha_006,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_005,alpha_006,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_006,alpha_008,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_002,alpha_004,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_002,alpha_012,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_002,alpha_009,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_002,alpha_007,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
