account_id,known_synthetic_group,community_id,degree,weighted_degree,betweenness,eigenvector,clustering
alpha_006,coordinated_alpha,1,11,165,0.0,0,1.0
alpha_010,coordinated_alpha,1,11,165,0.0,0,1.0
alpha_002,coordinated_alpha,1,11,165,0.0,0,1.0
alpha_004,coordinated_alpha,1,11,165,0.0,0,1.0
alpha_012,coordinated_alpha,1,11,165,0.0,0,1.0
alpha_009,coordinated_alpha,1,11,165,0.0,0,1.0
alpha_007,coordinated_alpha,1,11,165,0.0,0,1.0
alpha_011,coordinated_alpha,1,11,165,0.0,0,1.0
alpha_001,coordinated_alpha,1,11,165,0.0,0,1.0
alpha_003,coordinated_alpha,1,11,165,0.0,0,1.0
alpha_005,coordinated_alpha,1,11,165,0.0,0,1.0
alpha_008,coordinated_alpha,1,11,165,0.0,0,1.0
beta_004,coordinated_beta,2,8,54,0.003076923076923077,0,0.3573729287504118
beta_009,coordinated_beta,2,8,54,0.0,0,0.352340867502182
beta_006,coordinated_beta,2,7,52,0.0,0,0.4364508210044387
beta_008,coordinated_beta,2,8,44,0.00923076923076923,0,0.3141652474547926
beta_007,coordinated_beta,2,7,44,0.0,0,0.3958225352021767
beta_001,coordinated_beta,2,7,40,0.003076923076923077,0,0.3354853413779128
beta_002,coordinated_beta,2,6,37,0.0,0,0.4160153928845371
beta_005,coordinated_beta,2,7,36,0.0,0,0.3526551686435625
news_005,news_breaking,3,5,20,0.0,0,0.26666666666666666
news_006,news_breaking,3,5,20,0.0,0,0.26666666666666666
news_002,news_breaking,3,5,20,0.0,0,0.26666666666666666
news_001,news_breaking,3,5,20,0.0,0,0.26666666666666666
news_004,news_breaking,3,5,20,0.0,0,0.26666666666666666
news_003,news_breaking,3,5,20,0.0,0,0.26666666666666666
beta_003,coordinated_beta,2,4,19,0.0015384615384615385,0,0.3453825252190141
