fake_streams,diverted_payout
0,0.0
500000,4975.124378109453
1000000,9900.990099009901
1500000,14778.32512315271
2000000,19607.843137254902
2500000,24390.243902439026
3000000,29126.21359223301
3500000,33816.42512077295
4000000,38461.53846153846
4500000,43062.2009569378
5000000,47619.04761904762
5500000,52132.70142180095
6000000,56603.77358490566
6500000,61032.86384976526
7000000,65420.56074766355
7500000,69767.44186046511
8000000,74074.07407407407
8500000,78341.0138248848
9000000,82568.80733944954
9500000,86757.99086757991
10000000,90909.09090909091
10500000,95022.62443438914
11000000,99099.0990990991
11500000,103139.0134529148
12000000,107142.85714285714
12500000,111111.11111111111
13000000,115044.24778761061
13500000,118942.73127753304
14000000,122807.01754385965
14500000,126637.55458515284
15000000,130434.78260869565
15500000,134199.1341991342
16000000,137931.0344827586
16500000,141630.90128755366
17000000,145299.1452991453
17500000,148936.17021276595
18000000,152542.37288135593
18500000,156118.14345991562
19000000,159663.8655462185
19500000,163179.91631799162
20000000,166666.66666666666
20500000,170124.48132780084
21000000,173553.71900826445
21500000,176954.73251028807
22000000,180327.868852459
22500000,183673.4693877551
23000000,186991.86991869917
23500000,190283.4008097166
24000000,193548.38709677418
24500000,196787.1485943775
25000000,200000.0
25500000,203187.25099601594
26000000,206349.20634920636
26500000,209486.16600790515
27000000,212598.42519685038
27500000,215686.27450980392
28000000,218750.0
28500000,221789.8832684825
29000000,224806.2015503876
29500000,227799.2277992278
30000000,230769.23076923078
30500000,233716.47509578543
31000000,236641.2213740458
31500000,239543.72623574146
32000000,242424.24242424243
32500000,245283.01886792452
33000000,248120.3007518797
33500000,250936.32958801498
34000000,253731.3432835821
34500000,256505.57620817845
35000000,259259.25925925927
35500000,261992.61992619926
36000000,264705.8823529412
36500000,267399.2673992674
37000000,270072.9927007299
37500000,272727.2727272727
38000000,275362.3188405797
38500000,277978.3393501805
39000000,280575.5395683453
39500000,283154.1218637993
40000000,285714.28571428574
40500000,288256.2277580071
41000000,290780.1418439716
41500000,293286.2190812721
42000000,295774.6478873239
42500000,298245.6140350877
43000000,300699.3006993007
43500000,303135.88850174216
44000000,305555.55555555556
44500000,307958.4775086505
45000000,310344.8275862069
45500000,312714.7766323024
46000000,315068.4931506849
46500000,317406.1433447099
47000000,319727.8911564626
47500000,322033.89830508473
48000000,324324.3243243243
48500000,326599.3265993266
49000000,328859.06040268455
49500000,331103.6789297659
50000000,333333.3333333333
