scenario,t,arm,selection_share,posterior_mean
clean,10,0,0.2,0.25
clean,10,1,0.2,0.25
clean,10,2,0.2,0.25
clean,10,3,0.2,0.25
clean,10,4,0.2,0.25
clean,25,0,0.2,0.14285714285714285
clean,25,1,0.24,0.25
clean,25,2,0.16,0.16666666666666666
clean,25,3,0.2,0.14285714285714285
clean,25,4,0.2,0.2857142857142857
clean,50,0,0.26,0.13333333333333333
clean,50,1,0.22,0.15384615384615385
clean,50,2,0.16,0.1
clean,50,3,0.12,0.125
clean,50,4,0.24,0.14285714285714285
clean,100,0,0.21,0.08695652173913043
clean,100,1,0.2,0.09090909090909091
clean,100,2,0.13,0.06666666666666667
clean,100,3,0.19,0.09523809523809523
clean,100,4,0.27,0.10344827586206896
clean,250,0,0.148,0.05128205128205128
clean,250,1,0.3,0.09090909090909091
clean,250,2,0.092,0.04
clean,250,3,0.196,0.0784313725490196
clean,250,4,0.264,0.10294117647058823
clean,500,0,0.092,0.041666666666666664
clean,500,1,0.312,0.08860759493670886
clean,500,2,0.174,0.06741573033707865
clean,500,3,0.18,0.08695652173913043
clean,500,4,0.242,0.0975609756097561
seeded_arm0,10,0,0.3,0.7647058823529411
seeded_arm0,10,1,0.2,0.25
seeded_arm0,10,2,0.2,0.25
seeded_arm0,10,3,0.2,0.5
seeded_arm0,10,4,0.1,0.3333333333333333
seeded_arm0,25,0,0.44,0.52
seeded_arm0,25,1,0.12,0.2
seeded_arm0,25,2,0.12,0.2
seeded_arm0,25,3,0.24,0.375
seeded_arm0,25,4,0.08,0.25
seeded_arm0,50,0,0.44,0.3611111111111111
seeded_arm0,50,1,0.16,0.3
seeded_arm0,50,2,0.08,0.16666666666666666
seeded_arm0,50,3,0.24,0.2857142857142857
seeded_arm0,50,4,0.08,0.16666666666666666
seeded_arm0,100,0,0.4,0.25925925925925924
seeded_arm0,100,1,0.16,0.16666666666666666
seeded_arm0,100,2,0.08,0.1
seeded_arm0,100,3,0.27,0.20689655172413793
seeded_arm0,100,4,0.09,0.09090909090909091
seeded_arm0,250,0,0.412,0.13675213675213677
seeded_arm0,250,1,0.132,0.08571428571428572
seeded_arm0,250,2,0.068,0.10526315789473684
seeded_arm0,250,3,0.292,0.12
seeded_arm0,250,4,0.096,0.07692307692307693
seeded_arm0,500,0,0.426,0.10572687224669604
seeded_arm0,500,1,0.096,0.06
seeded_arm0,500,2,0.134,0.07246376811594203
seeded_arm0,500,3,0.26,0.09090909090909091
seeded_arm0,500,4,0.084,0.045454545454545456
