t,feedback_a,incremental_effect,cumulative_effect
0,0.2,1.0,1.0
1,0.2,0.2,1.2
2,0.2,0.04000000000000001,1.24
3,0.2,0.008000000000000002,1.248
4,0.2,0.0016000000000000003,1.2496
5,0.2,0.0003200000000000001,1.24992
6,0.2,6.400000000000002e-05,1.249984
7,0.2,1.2800000000000005e-05,1.2499968000000001
8,0.2,2.5600000000000013e-06,1.2499993600000001
9,0.2,5.120000000000002e-07,1.249999872
10,0.2,1.0240000000000006e-07,1.2499999744
11,0.2,2.0480000000000012e-08,1.24999999488
12,0.2,4.096000000000002e-09,1.249999998976
13,0.2,8.192000000000005e-10,1.2499999997952
14,0.2,1.6384000000000013e-10,1.24999999995904
15,0.2,3.276800000000003e-11,1.249999999991808
16,0.2,6.5536000000000055e-12,1.2499999999983615
17,0.2,1.3107200000000013e-12,1.2499999999996723
18,0.2,2.6214400000000027e-13,1.2499999999999345
19,0.2,5.2428800000000056e-14,1.249999999999987
20,0.2,1.0485760000000012e-14,1.2499999999999973
21,0.2,2.0971520000000026e-15,1.2499999999999996
22,0.2,4.194304000000005e-16,1.25
23,0.2,8.388608000000011e-17,1.25
24,0.2,1.6777216000000023e-17,1.25
25,0.2,3.3554432000000048e-18,1.25
26,0.2,6.71088640000001e-19,1.25
27,0.2,1.342177280000002e-19,1.25
28,0.2,2.684354560000004e-20,1.25
29,0.2,5.368709120000009e-21,1.25
0,0.5,1.0,1.0
1,0.5,0.5,1.5
2,0.5,0.25,1.75
3,0.5,0.125,1.875
4,0.5,0.0625,1.9375
5,0.5,0.03125,1.96875
6,0.5,0.015625,1.984375
7,0.5,0.0078125,1.9921875
8,0.5,0.00390625,1.99609375
9,0.5,0.001953125,1.998046875
10,0.5,0.0009765625,1.9990234375
11,0.5,0.00048828125,1.99951171875
12,0.5,0.000244140625,1.999755859375
13,0.5,0.0001220703125,1.9998779296875
14,0.5,6.103515625e-05,1.99993896484375
15,0.5,3.0517578125e-05,1.999969482421875
16,0.5,1.52587890625e-05,1.9999847412109375
17,0.5,7.62939453125e-06,1.9999923706054688
18,0.5,3.814697265625e-06,1.9999961853027344
19,0.5,1.9073486328125e-06,1.9999980926513672
20,0.5,9.5367431640625e-07,1.9999990463256836
21,0.5,4.76837158203125e-07,1.9999995231628418
22,0.5,2.384185791015625e-07,1.999999761581421
23,0.5,1.1920928955078125e-07,1.9999998807907104
24,0.5,5.960464477539063e-08,1.9999999403953552
25,0.5,2.9802322387695312e-08,1.9999999701976776
26,0.5,1.4901161193847656e-08,1.9999999850988388
27,0.5,7.450580596923828e-09,1.9999999925494194
28,0.5,3.725290298461914e-09,1.9999999962747097
29,0.5,1.862645149230957e-09,1.9999999981373549
0,0.8,1.0,1.0
1,0.8,0.8,1.8
2,0.8,0.6400000000000001,2.4400000000000004
3,0.8,0.5120000000000001,2.9520000000000004
4,0.8,0.4096000000000001,3.3616
5,0.8,0.3276800000000001,3.6892800000000006
6,0.8,0.2621440000000001,3.9514240000000007
7,0.8,0.20971520000000007,4.161139200000001
8,0.8,0.1677721600000001,4.328911360000001
9,0.8,0.13421772800000006,4.4631290880000005
10,0.8,0.10737418240000006,4.570503270400001
11,0.8,0.08589934592000005,4.656402616320001
12,0.8,0.06871947673600004,4.725122093056001
13,0.8,0.054975581388800036,4.780097674444801
14,0.8,0.043980465111040035,4.824078139555841
15,0.8,0.03518437208883203,4.859262511644673
16,0.8,0.028147497671065624,4.887410009315738
17,0.8,0.022517998136852502,4.909928007452591
18,0.8,0.018014398509482003,4.927942405962074
19,0.8,0.014411518807585602,4.942353924769659
20,0.8,0.011529215046068483,4.953883139815727
21,0.8,0.009223372036854787,4.963106511852582
22,0.8,0.00737869762948383,4.9704852094820655
23,0.8,0.005902958103587064,4.976388167585653
24,0.8,0.004722366482869652,4.981110534068523
25,0.8,0.0037778931862957215,4.984888427254818
26,0.8,0.0030223145490365774,4.987910741803855
27,0.8,0.002417851639229262,4.990328593443084
28,0.8,0.0019342813113834097,4.992262874754467
29,0.8,0.0015474250491067279,4.993810299803574
0,0.92,1.0,1.0
1,0.92,0.92,1.92
2,0.92,0.8464,2.7664
3,0.92,0.778688,3.5450880000000002
4,0.92,0.7163929600000001,4.26148096
5,0.92,0.6590815232000001,4.9205624832
6,0.92,0.6063550013440001,5.526917484544001
7,0.92,0.5578466012364802,6.08476408578048
8,0.92,0.5132188731375618,6.597982958918043
9,0.92,0.47216136328655683,7.070144322204599
10,0.92,0.4343884542236323,7.504532776428231
11,0.92,0.3996373778857418,7.904170154313974
12,0.92,0.3676663876548824,8.271836541968856
13,0.92,0.3382530766424919,8.610089618611347
14,0.92,0.31119283051109253,8.92128244912244
15,0.92,0.28629740407020515,9.207579853192644
16,0.92,0.26339361174458875,9.470973464937234
17,0.92,0.24232212280502163,9.713295587742255
18,0.92,0.22293635298061992,9.936231940722875
19,0.92,0.20510144474217035,10.141333385465046
20,0.92,0.1886933291627967,10.330026714627843
21,0.92,0.173597862829773,10.503624577457616
22,0.92,0.15971003380339116,10.663334611261007
23,0.92,0.14693323109911988,10.810267842360126
24,0.92,0.1351785726111903,10.945446414971316
25,0.92,0.12436428680229507,11.069810701773612
26,0.92,0.11441514385811147,11.184225845631724
27,0.92,0.10526193234946256,11.289487777981186
28,0.92,0.09684097776150556,11.386328755742692
29,0.92,0.08909369954058512,11.475422455283276
