seed_fraction,t,active_count,active_share
0.005,0,2,0.005
0.005,1,4,0.01
0.005,2,8,0.02
0.005,3,12,0.03
0.005,4,16,0.04
0.005,5,19,0.0475
0.005,6,25,0.0625
0.005,7,39,0.0975
0.005,8,64,0.16
0.005,9,97,0.2425
0.005,10,146,0.365
0.005,11,224,0.56
0.005,12,309,0.7725
0.005,13,373,0.9325
0.005,14,392,0.98
0.005,15,395,0.9875
0.005,16,397,0.9925
0.005,17,397,0.9925
0.01,0,4,0.01
0.01,1,6,0.015
0.01,2,10,0.025
0.01,3,16,0.04
0.01,4,21,0.0525
0.01,5,34,0.085
0.01,6,56,0.14
0.01,7,85,0.2125
0.01,8,145,0.3625
0.01,9,226,0.565
0.01,10,317,0.7925
0.01,11,377,0.9425
0.01,12,391,0.9775
0.01,13,396,0.99
0.01,14,397,0.9925
0.01,15,397,0.9925
0.02,0,8,0.02
0.02,1,18,0.045
0.02,2,33,0.0825
0.02,3,62,0.155
0.02,4,110,0.275
0.02,5,180,0.45
0.02,6,273,0.6825
0.02,7,354,0.885
0.02,8,386,0.965
0.02,9,394,0.985
0.02,10,396,0.99
0.02,11,397,0.9925
0.02,12,397,0.9925
0.04,0,16,0.04
0.04,1,55,0.1375
0.04,2,108,0.27
0.04,3,192,0.48
0.04,4,293,0.7325
0.04,5,358,0.895
0.04,6,386,0.965
0.04,7,394,0.985
0.04,8,397,0.9925
0.04,9,397,0.9925
0.08,0,32,0.08
0.08,1,85,0.2125
0.08,2,164,0.41
0.08,3,265,0.6625
0.08,4,350,0.875
0.08,5,388,0.97
0.08,6,395,0.9875
0.08,7,397,0.9925
0.08,8,397,0.9925
